Property Type Cleaned,Area Cleaned,ClubHouse Cleaned,School Cleaned,Hospital Cleaned,Mall Cleaned,Park Cleaned,Pool Cleaned,Gym Cleaned,Price by sub-area,Amenities score,Price by Amenities score,Noun_Counts,Verb_Counts,Adjective_Counts,bedroom apartment,boasts elegant,elegant towers,great community,mantra gold,offering bedroom,project boasts,project offers,stories offering,towers stories
3.5,1662.9,1,0,0,0,1,1,1,145.57499999999996,4,98.58288659793813,11,4,4,0,0,0,0,0,0,0,0,0,0
3.5,1662.9,1,0,0,0,1,1,1,145.57499999999996,4,98.58288659793813,11,5,6,0,0,0,0,0,0,0,0,0,0
1.0,575.0,1,0,0,0,1,1,1,106.049,4,98.58288659793813,16,4,3,0,0,0,0,0,0,0,0,0,0
2.0,751.0,1,0,0,0,1,1,1,106.049,4,98.58288659793813,9,3,3,0,0,0,0,0,0,0,0,0,0
2.0,761.0,1,0,0,0,1,1,1,106.049,4,98.58288659793813,10,6,4,0,0,0,0,0,0,0,0,0,0
2.0,871.0,1,0,0,0,1,1,1,106.049,4,98.58288659793813,9,4,4,0,0,0,0,0,0,0,0,0,0
3.0,1166.0,1,0,0,0,1,1,1,106.049,4,98.58288659793813,13,5,5,0,0,0,0,0,0,0,0,0,0
3.0,1206.0,1,0,0,0,1,1,1,106.049,4,98.58288659793813,11,7,3,0,0,0,0,0,0,0,0,0,0
3.0,1272.0,1,0,0,0,1,1,1,106.049,4,98.58288659793813,6,1,5,0,0,0,0,0,0,0,0,0,0
3.0,1279.0,1,0,0,0,1,1,1,106.049,4,98.58288659793813,6,5,5,0,0,0,0,0,0,0,0,0,0
2.0,646.0,0,0,0,0,1,0,0,45.3,1,62.83238095238095,8,2,5,0,0,0,0,0,0,0,0,0,0
2.0,717.0,0,0,0,0,1,0,0,45.3,1,62.83238095238095,13,6,5,0,0,0,0,0,0,0,0,0,0
1.0,436.0,0,0,0,0,1,0,0,46.408181818181816,1,62.83238095238095,11,5,3,0,0,0,0,0,0,0,0,0,0
2.0,637.0,0,0,0,0,1,0,0,46.408181818181816,1,62.83238095238095,9,3,4,0,0,0,0,0,0,0,0,0,0
2.0,642.0,0,0,0,0,1,0,0,46.408181818181816,1,62.83238095238095,10,5,5,0,0,0,0,0,0,0,0,0,0
2.0,655.0,0,0,0,0,1,0,0,46.408181818181816,1,62.83238095238095,10,4,6,0,0,0,0,0,0,0,0,0,0
2.0,668.0,0,0,0,0,1,0,0,46.408181818181816,1,62.83238095238095,11,6,4,0,0,0,0,0,0,0,0,0,0
3.0,810.0,0,0,0,0,1,0,0,46.408181818181816,1,62.83238095238095,12,5,5,0,0,0,0,0,0,0,0,0,0
2.0,735.0,0,0,0,0,1,0,1,135.8,2,81.48103448275862,13,2,3,0,0,0,0,0,0,0,0,0,0
2.0,783.0,0,0,0,0,1,0,1,135.8,2,81.48103448275862,11,4,2,1,1,1,1,0,1,1,0,1,1
2.0,805.0,0,0,0,0,1,0,1,135.8,2,81.48103448275862,10,1,3,0,0,0,0,0,0,0,0,0,0
3.0,1074.0,0,0,0,0,1,0,1,135.8,2,81.48103448275862,12,3,4,0,0,0,0,0,0,0,1,0,0
3.0,1111.0,0,0,0,0,1,0,1,135.8,2,81.48103448275862,13,7,8,0,0,0,0,0,0,0,0,0,0
1.0,535.0,1,0,0,0,1,0,1,145.57499999999996,3,69.04065217391305,12,2,3,0,0,0,0,0,0,0,0,0,0
2.0,725.0,1,0,0,0,1,0,1,145.57499999999996,3,69.04065217391305,13,5,5,0,0,0,0,0,0,0,0,0,0
2.0,810.0,1,0,0,0,1,0,0,88.0,2,81.48103448275862,6,2,7,0,0,0,0,0,0,0,0,0,0
3.0,947.0,1,0,0,0,1,0,0,88.0,2,81.48103448275862,14,7,4,0,0,0,0,0,0,0,0,0,0
2.0,697.0,1,0,0,0,1,1,1,87.52666666666667,4,98.58288659793813,14,5,8,0,0,0,0,0,0,0,0,0,0
2.0,711.0,1,0,0,0,1,1,1,87.52666666666667,4,98.58288659793813,7,2,6,0,0,0,0,0,0,0,0,0,0
2.0,792.0,1,0,0,0,1,1,1,87.52666666666667,4,98.58288659793813,8,3,2,0,0,0,0,0,0,0,0,0,0
3.0,980.0,1,0,0,0,1,1,1,87.52666666666667,4,98.58288659793813,15,6,4,0,0,0,0,0,0,0,0,0,0
2.0,1400.0,1,0,0,0,1,1,1,87.52666666666667,4,98.58288659793813,6,4,3,0,0,0,0,0,0,0,0,0,0
3.0,1662.9,1,0,0,0,1,1,1,87.52666666666667,4,98.58288659793813,8,2,4,0,0,0,0,0,0,0,0,0,0
2.0,732.0,0,0,0,0,1,0,0,75.6375,1,62.83238095238095,9,3,8,0,0,0,0,0,0,0,0,0,0
2.0,751.0,0,0,0,0,1,0,0,75.6375,1,62.83238095238095,9,5,6,0,0,0,0,0,0,0,0,0,0
5.0,1662.0,0,0,0,0,1,0,0,75.6375,1,62.83238095238095,14,4,7,0,0,0,0,0,0,0,0,0,0
2.0,705.0,0,0,0,0,0,0,1,86.58333333333333,1,62.83238095238095,10,3,3,0,0,0,0,0,0,0,0,0,0
2.0,726.0,0,0,0,0,0,0,1,86.58333333333333,1,62.83238095238095,9,2,8,0,0,0,0,0,0,0,0,0,0
2.0,809.0,0,0,0,0,0,0,1,86.58333333333333,1,62.83238095238095,9,5,4,0,0,0,0,0,0,0,0,0,0
2.0,734.0,1,0,0,0,1,1,1,127.5,4,98.58288659793813,16,7,8,0,0,0,0,0,0,0,0,0,0
2.0,793.0,1,0,0,0,1,1,1,127.5,4,98.58288659793813,10,3,5,0,0,0,0,0,0,0,0,0,0
2.0,904.0,1,0,0,0,1,1,1,127.5,4,98.58288659793813,9,6,6,0,0,0,0,0,0,0,0,0,0
3.0,1154.0,1,0,0,0,1,1,1,127.5,4,98.58288659793813,10,1,5,0,0,0,0,0,0,0,0,0,0
3.0,1168.0,1,0,0,0,1,1,1,127.5,4,98.58288659793813,8,3,5,0,0,0,0,0,0,0,0,0,0
3.0,1189.0,1,0,0,0,1,1,1,127.5,4,98.58288659793813,10,4,6,0,0,0,0,0,0,0,0,0,0
1.0,479.0,0,0,0,0,1,1,1,87.52666666666667,3,69.04065217391305,9,4,2,0,0,0,0,0,0,0,0,0,0
2.0,693.0,0,0,0,0,1,1,1,87.52666666666667,3,69.04065217391305,8,3,2,0,0,0,0,0,0,0,0,0,0
2.0,725.0,0,0,0,0,1,1,1,87.52666666666667,3,69.04065217391305,13,3,6,0,0,0,0,0,0,0,0,0,0
2.0,808.0,0,0,0,0,1,1,1,106.049,3,69.04065217391305,8,2,6,0,0,0,0,0,0,0,1,0,0
3.0,1086.0,0,0,0,0,1,1,1,106.049,3,69.04065217391305,9,1,3,0,0,0,0,0,0,0,0,0,0
2.0,785.0,1,0,0,0,1,1,1,69.45444444444445,4,98.58288659793813,10,2,5,0,0,0,0,0,0,0,1,0,0
2.0,844.0,1,0,0,0,1,1,1,69.45444444444445,4,98.58288659793813,14,4,5,0,0,0,0,0,0,0,0,0,0
2.0,873.0,1,0,0,0,1,1,1,69.45444444444445,4,98.58288659793813,11,5,6,0,0,0,0,0,0,0,0,0,0
2.0,606.0,1,0,0,0,1,1,1,55.24,4,98.58288659793813,12,4,8,0,0,0,0,0,0,0,0,0,0
2.0,611.0,1,0,0,0,1,1,1,55.24,4,98.58288659793813,11,3,9,0,0,0,0,0,0,0,0,0,0
2.0,626.0,1,0,0,0,1,1,1,55.24,4,98.58288659793813,8,3,2,0,0,0,0,0,0,0,0,0,0
2.0,691.0,1,0,0,0,1,1,1,55.24,4,98.58288659793813,13,4,4,0,0,0,0,0,0,0,0,0,0
3.0,835.0,1,0,0,0,1,1,1,55.24,4,98.58288659793813,14,6,7,0,0,0,0,0,0,0,0,0,0
